timestamp,sm,mem,fb
2022-08-25T20:06:58,0,0,105.75
2022-08-25T20:07:00,2,0,518.5
2022-08-25T20:07:01,2,0,753.5
2022-08-25T20:07:02,3,0,1004.5
2022-08-25T20:07:03,2.75,0,1338.5
2022-08-25T20:07:04,4.5,0.5,6461
2022-08-25T20:07:05,50.5,9.75,11007.5
2022-08-25T20:07:06,53,4.75,14191
2022-08-25T20:07:07,39.75,9,14987.5
2022-08-25T20:07:08,50.5,10.25,15253
2022-08-25T20:07:09,40.25,9,15253
2022-08-25T20:07:10,46.5,10,15253
2022-08-25T20:07:11,40.75,9.25,15253
2022-08-25T20:07:13,60.25,7.25,15253
2022-08-25T20:07:14,41.5,11.25,15253
2022-08-25T20:07:15,57.25,11.75,15253
2022-08-25T20:07:16,54,10.5,15253
2022-08-25T20:07:17,51.5,7.75,15253
2022-08-25T20:07:18,48.75,11.5,15253
2022-08-25T20:07:19,53.5,10,15253
2022-08-25T20:07:20,28.5,5.5,15253
2022-08-25T20:07:21,48.25,7.5,15253
2022-08-25T20:07:22,72,8.75,15253
2022-08-25T20:07:23,54,6,15253
2022-08-25T20:07:24,52.75,3.75,15253
2022-08-25T20:07:26,61.25,3.25,15253
2022-08-25T20:07:27,74.25,1.75,15253
2022-08-25T20:07:28,33,5.25,15253
2022-08-25T20:07:29,62.75,12.5,15253
2022-08-25T20:07:30,57.25,8.25,15253
2022-08-25T20:07:31,67,10.75,15253
2022-08-25T20:07:32,38.75,6.25,15253
2022-08-25T20:07:33,59,12.25,15253
2022-08-25T20:07:34,68.5,12.25,15253
2022-08-25T20:07:35,57.75,11.25,15253
2022-08-25T20:07:36,50.75,10.5,15253
2022-08-25T20:07:37,51.5,10.25,15253
2022-08-25T20:07:38,57.5,11.5,15253
2022-08-25T20:07:40,42,10.5,15253
2022-08-25T20:07:41,76.25,12.25,15253
2022-08-25T20:07:42,53.75,6.5,15253
2022-08-25T20:07:43,75.5,12.75,15253
2022-08-25T20:07:44,49.5,8.25,15253
2022-08-25T20:07:45,64.5,12.5,15253
2022-08-25T20:07:46,49,9.25,15253
2022-08-25T20:07:47,52.25,11,15253
2022-08-25T20:07:48,56.25,11.25,15253
2022-08-25T20:07:49,55.25,10.75,15253
2022-08-25T20:07:50,51.75,10.75,15253
2022-08-25T20:07:51,59.5,11.75,15253
2022-08-25T20:07:52,56.75,11,15253
2022-08-25T20:07:54,60.75,15,15253
2022-08-25T20:07:55,51.5,6.5,15253
2022-08-25T20:07:56,50.75,10.25,15253
2022-08-25T20:07:57,45.75,7.75,15253
2022-08-25T20:07:58,47.5,10.5,15253
2022-08-25T20:07:59,57,8.75,15253
2022-08-25T20:08:00,44.25,9,15253
2022-08-25T20:08:01,62.75,9.5,15253
2022-08-25T20:08:02,65.75,10.25,15253
2022-08-25T20:08:03,65.5,3,15253
2022-08-25T20:08:04,43.75,6.75,15253
2022-08-25T20:08:05,49.5,11.75,15253
2022-08-25T20:08:06,53.25,12,15253
2022-08-25T20:08:07,63,12.75,15253
2022-08-25T20:08:09,72,13.25,15253
2022-08-25T20:08:10,50.25,9,15253
2022-08-25T20:08:11,69,9.5,15253
2022-08-25T20:08:12,39.5,7.75,15253
2022-08-25T20:08:13,46.75,7,15253
2022-08-25T20:08:14,66.75,12.5,15253
2022-08-25T20:08:15,67,10.25,15253
2022-08-25T20:08:16,56.25,4.75,15253
2022-08-25T20:08:17,54.5,11.5,15253
2022-08-25T20:08:18,60.5,13.25,15253
2022-08-25T20:08:19,56.25,9.75,15253
2022-08-25T20:08:20,54.25,11,15253
2022-08-25T20:08:21,58,9.5,15253
2022-08-25T20:08:23,39,10,15253
2022-08-25T20:08:24,64,11,15253
2022-08-25T20:08:25,70.75,13,15253
2022-08-25T20:08:26,40.5,5,15253
2022-08-25T20:08:27,52,12.5,15253
2022-08-25T20:08:28,61.25,9.5,15253
2022-08-25T20:08:29,68.25,11.5,15253
2022-08-25T20:08:30,51.75,7.75,15253
2022-08-25T20:08:31,58.25,9.25,15253
2022-08-25T20:08:32,61,11.5,15253
2022-08-25T20:08:33,67.75,9.75,15253
2022-08-25T20:08:34,49,7.5,15253
2022-08-25T20:08:35,54,11.75,15253
2022-08-25T20:08:36,54.25,10.5,15253
2022-08-25T20:08:38,56.5,9,15253
2022-08-25T20:08:39,57.75,9.5,15253
2022-08-25T20:08:40,67.25,7.75,15253
2022-08-25T20:08:41,66.25,12.5,15253
2022-08-25T20:08:42,54.25,12.75,15253
2022-08-25T20:08:43,63,10.75,15253
2022-08-25T20:08:44,49.25,9,15253
2022-08-25T20:08:45,66.75,8.75,15253
2022-08-25T20:08:46,69.25,11.75,15253
2022-08-25T20:08:47,58.75,13,15253
2022-08-25T20:08:48,55.5,10.5,15253
2022-08-25T20:08:49,61.25,10.25,15253
2022-08-25T20:08:51,70.25,12.5,15253
2022-08-25T20:08:52,64,13,15253
2022-08-25T20:08:53,54.75,7.25,15253
2022-08-25T20:08:54,64.25,13,15253
2022-08-25T20:08:55,57.75,11,15253
2022-08-25T20:08:56,74.25,10,15253
2022-08-25T20:08:57,56.75,10.5,15253
2022-08-25T20:08:58,58.25,13.75,15253
2022-08-25T20:08:59,58.5,12.25,15253
2022-08-25T20:09:00,54.75,11.75,15253
2022-08-25T20:09:01,57.75,10.5,15253
2022-08-25T20:09:02,54.5,10.5,15253
2022-08-25T20:09:03,50,9.25,15253
2022-08-25T20:09:04,58.25,13.75,15253
2022-08-25T20:09:06,46.75,10.5,15253
2022-08-25T20:09:07,57.75,11.75,15253
2022-08-25T20:09:08,80.25,14.5,15253
2022-08-25T20:09:09,66.75,13,15253
2022-08-25T20:09:10,53.25,10.25,15253
2022-08-25T20:09:11,59.5,14,15253
2022-08-25T20:09:12,50,10.5,15253
2022-08-25T20:09:13,64,12.5,15253
2022-08-25T20:09:14,71.25,11.5,15253
2022-08-25T20:09:15,64.25,12.25,15253
2022-08-25T20:09:16,64,11.25,15253
2022-08-25T20:09:17,62.5,10.5,15253
2022-08-25T20:09:19,64.25,5.25,15253
2022-08-25T20:09:20,56.5,14.5,15253
2022-08-25T20:09:21,56.25,10.5,15253
2022-08-25T20:09:22,77.5,15.75,15253
2022-08-25T20:09:23,50.75,11.5,15253
2022-08-25T20:09:24,57.5,9.5,15253
2022-08-25T20:09:25,64.25,14,15253
2022-08-25T20:09:26,46.25,9,15253
2022-08-25T20:09:27,68.75,14.25,15253
2022-08-25T20:09:28,60.5,10.25,15253
2022-08-25T20:09:29,54.5,11.25,15253
2022-08-25T20:09:30,61.25,11.25,15253
2022-08-25T20:09:31,57.75,8.25,15253
2022-08-25T20:09:32,52,11,15253
2022-08-25T20:09:34,47,12.5,15253
2022-08-25T20:09:35,67.5,11.75,15253
2022-08-25T20:09:36,71.75,12.75,15253
2022-08-25T20:09:37,54,13.25,15253
2022-08-25T20:09:38,46.25,9,15253
2022-08-25T20:09:39,56,12.75,15253
2022-08-25T20:09:40,51.25,9.5,15253
2022-08-25T20:09:41,47.75,10.25,15253
2022-08-25T20:09:42,51,12,15253
2022-08-25T20:09:43,54.75,12,15253
2022-08-25T20:09:44,57.5,11,15253
2022-08-25T20:09:45,62.5,13.25,15253
2022-08-25T20:09:46,56.5,12.5,15253
2022-08-25T20:09:48,78.25,14.25,15253
2022-08-25T20:09:49,55.25,12.75,15253
2022-08-25T20:09:50,58.25,10.5,15253
2022-08-25T20:09:51,62.5,14,15253
2022-08-25T20:09:52,59.5,9.75,15253
2022-08-25T20:09:53,69.25,11.25,15253
2022-08-25T20:09:54,61,13,15253
2022-08-25T20:09:55,56,10.25,15253
2022-08-25T20:09:56,56,12.75,15253
2022-08-25T20:09:57,54.25,10.75,15253
2022-08-25T20:09:58,58.5,9.25,15253
2022-08-25T20:09:59,58.25,10.5,15253
2022-08-25T20:10:00,63.75,10.25,15253
2022-08-25T20:10:02,42.25,11.25,15253
2022-08-25T20:10:03,52.75,9.5,15253
2022-08-25T20:10:04,68.75,13.25,15253
2022-08-25T20:10:05,46.75,5.75,15253
2022-08-25T20:10:06,63,11.75,15253
2022-08-25T20:10:07,55.25,11.25,15253
2022-08-25T20:10:08,69.75,12,15253
2022-08-25T20:10:09,68.25,12.25,15253
2022-08-25T20:10:10,66.25,7.75,15253
2022-08-25T20:10:11,57.25,10.5,15253
2022-08-25T20:10:12,65.5,12.5,15253
2022-08-25T20:10:13,61.75,10.75,15253
2022-08-25T20:10:14,64.5,11.5,15253
2022-08-25T20:10:15,64.5,11,15253
2022-08-25T20:10:17,30,7.25,15253
2022-08-25T20:10:18,78.25,12.75,15253
2022-08-25T20:10:19,60.75,10.75,15253
2022-08-25T20:10:20,57.5,11,15253
2022-08-25T20:10:21,61.25,12.25,15253
2022-08-25T20:10:22,48.25,10,15253
2022-08-25T20:10:23,71.5,13,15253
2022-08-25T20:10:24,65,11.5,15253
2022-08-25T20:10:25,56,11,15253
2022-08-25T20:10:26,47.25,11.5,15253
2022-08-25T20:10:27,62,11.75,15253
2022-08-25T20:10:28,64,10,15253
2022-08-25T20:10:29,68,10.75,15253
2022-08-25T20:10:31,67.25,8,15253
2022-08-25T20:10:32,67.25,16,15253
2022-08-25T20:10:33,74.25,2.75,15253
2022-08-25T20:10:34,49.75,11.5,15253
2022-08-25T20:10:35,62.5,12.5,15253
2022-08-25T20:10:36,57.5,11.75,15253
2022-08-25T20:10:37,54.75,12.75,15253
2022-08-25T20:10:38,66,13.25,15253
2022-08-25T20:10:39,63.75,12,15253
2022-08-25T20:10:40,60.75,11.25,15253
2022-08-25T20:10:41,52,10.75,15253
2022-08-25T20:10:42,50.5,11.5,15253
2022-08-25T20:10:43,58.5,14,15253
2022-08-25T20:10:44,59.75,10,15253
2022-08-25T20:10:46,58.25,7.5,15253
2022-08-25T20:10:47,65.75,10.5,15253
2022-08-25T20:10:48,61.75,7.5,15253
2022-08-25T20:10:49,70,12.75,15253
2022-08-25T20:10:50,49.25,8.75,15253
2022-08-25T20:10:51,65.25,14.5,15253
2022-08-25T20:10:52,64,12.25,15253
2022-08-25T20:10:53,58.5,5.75,15253
2022-08-25T20:10:54,60,12.5,15253
2022-08-25T20:10:55,58.5,12.25,15253
2022-08-25T20:10:56,57,10.75,15253
2022-08-25T20:10:57,48.25,9,15253
2022-08-25T20:10:58,55.5,10.5,15253
2022-08-25T20:11:00,61.5,14,15253
2022-08-25T20:11:01,55.5,8.5,15253
2022-08-25T20:11:02,58,11.25,15253
2022-08-25T20:11:03,66,15.25,15253
2022-08-25T20:11:04,59,11.25,15253
2022-08-25T20:11:05,61.5,12,15253
2022-08-25T20:11:06,54.25,9.25,15253
2022-08-25T20:11:07,61.25,12,15253
2022-08-25T20:11:08,75.5,14.75,15253
2022-08-25T20:11:09,60.5,13,15253
2022-08-25T20:11:10,59,10,15253
2022-08-25T20:11:11,54.75,9.5,15253
2022-08-25T20:11:12,54.25,11.25,15253
2022-08-25T20:11:14,71.5,15,15253
2022-08-25T20:11:15,51.75,5.75,15253
2022-08-25T20:11:16,64.5,13.25,15253
2022-08-25T20:11:17,61.5,13,15253
2022-08-25T20:11:18,66.25,11.75,15253
2022-08-25T20:11:19,58.75,10.5,15253
2022-08-25T20:11:20,55,7.25,15253
2022-08-25T20:11:21,54,11.5,15253
2022-08-25T20:11:22,64.25,15.25,15254.5
2022-08-25T20:11:23,89.5,24,15255
2022-08-25T20:11:24,96.5,26.5,15255
2022-08-25T20:11:25,99,27.25,15255
2022-08-25T20:11:26,92.25,26,15255
2022-08-25T20:11:28,97.25,26.5,15255
2022-08-25T20:11:29,98.75,27.5,15255
2022-08-25T20:11:30,85.5,24.25,15255
2022-08-25T20:11:31,73.75,20.5,15255
2022-08-25T20:11:32,76,21,15255
2022-08-25T20:11:33,84.75,23.75,15255
2022-08-25T20:11:34,93.25,25.5,15255
2022-08-25T20:11:35,91.5,25.25,15255
2022-08-25T20:11:36,91.75,25.75,15255
2022-08-25T20:11:37,94,26.5,15255
2022-08-25T20:11:38,99,27.25,15255
2022-08-25T20:11:39,97,27,15255
2022-08-25T20:11:40,90,25.25,15255
2022-08-25T20:11:42,95.5,26.5,15255
2022-08-25T20:11:43,98.75,27.25,15255
2022-08-25T20:11:44,93.5,26.25,15255
2022-08-25T20:11:45,94.25,26,15255
2022-08-25T20:11:46,98.5,27.5,15255
2022-08-25T20:11:47,99,27.25,15255
2022-08-25T20:11:48,99,27.5,15255
2022-08-25T20:11:49,99,27,15255
2022-08-25T20:11:50,94.25,27,15255
2022-08-25T20:11:51,90,26,15255
2022-08-25T20:11:52,92.25,25.75,15255
2022-08-25T20:11:53,90.5,25,15255
2022-08-25T20:11:55,92.5,25.75,15255
2022-08-25T20:11:56,92.5,26.5,15255
2022-08-25T20:11:57,98.5,27.25,15255
2022-08-25T20:11:58,90,24.75,15255
2022-08-25T20:11:59,93.75,25.5,15255
2022-08-25T20:12:00,99,25.75,15255
2022-08-25T20:12:01,99,21.25,15255
2022-08-25T20:12:02,99,20.25,15255
2022-08-25T20:12:03,99,20.25,15255
2022-08-25T20:12:04,99,20.5,15255
2022-08-25T20:12:05,99,20.5,15255
2022-08-25T20:12:06,99,20.25,15255
2022-08-25T20:12:07,99,20.25,15255
2022-08-25T20:12:09,93.75,19.75,15255
2022-08-25T20:12:10,98.5,20.5,15255
2022-08-25T20:12:11,98.25,20.25,15255
2022-08-25T20:12:12,98.75,20.5,15255
2022-08-25T20:12:13,99,20.25,15521
2022-08-25T20:12:14,99,16.25,15521
2022-08-25T20:12:15,99,12.75,15838
2022-08-25T20:12:16,77.75,6.5,15839.5
2022-08-25T20:12:17,54.25,8.5,15840
2022-08-25T20:12:18,58,12.25,15840
2022-08-25T20:12:19,57.25,9.75,15840
2022-08-25T20:12:20,62.75,12.25,15840
2022-08-25T20:12:21,58.5,13.5,15840
2022-08-25T20:12:22,62.25,11.5,15840
2022-08-25T20:12:24,52.5,13.5,15840
2022-08-25T20:12:25,55.75,7,15840
2022-08-25T20:12:26,46.5,10.5,15840
2022-08-25T20:12:27,58.25,10.5,15840
2022-08-25T20:12:28,50.5,11,15840
2022-08-25T20:12:29,48.75,9.75,15840
2022-08-25T20:12:30,56.5,11.75,15840
2022-08-25T20:12:31,51.75,10.75,15840
2022-08-25T20:12:32,55.75,11,15840
2022-08-25T20:12:33,55.5,10.75,15840
2022-08-25T20:12:34,62.25,11.75,15840
2022-08-25T20:12:35,67.25,10.25,15840
2022-08-25T20:12:36,47.5,7,15840
2022-08-25T20:12:38,63.5,12.75,15840
2022-08-25T20:12:39,54.25,11.75,15840
2022-08-25T20:12:40,59.25,9.75,15840
2022-08-25T20:12:41,61.5,11,15840
2022-08-25T20:12:42,56,10.25,15840
2022-08-25T20:12:43,71.5,12.5,15840
2022-08-25T20:12:44,65.75,10.25,15840
2022-08-25T20:12:45,66,11.25,15840
2022-08-25T20:12:46,65.75,12.5,15840
2022-08-25T20:12:47,58.25,9.25,15840
2022-08-25T20:12:48,51,11,15840
2022-08-25T20:12:49,61,14.25,15840
2022-08-25T20:12:50,58,8.5,15840
2022-08-25T20:12:52,80.5,17.75,15840
2022-08-25T20:12:53,44.25,10.75,15840
2022-08-25T20:12:54,65,9.25,15840
2022-08-25T20:12:55,51.75,12.25,15840
2022-08-25T20:12:56,57,8.75,15840
2022-08-25T20:12:57,62.75,14.5,15840
2022-08-25T20:12:58,56,13.75,15840
2022-08-25T20:12:59,62,12,15840
2022-08-25T20:13:00,59.75,10.5,15840
2022-08-25T20:13:01,57.5,12.75,15840
2022-08-25T20:13:02,55.75,12.25,15840
2022-08-25T20:13:03,67.5,12.75,15840
2022-08-25T20:13:04,58.75,10.75,15840
2022-08-25T20:13:06,68,14.25,15840
2022-08-25T20:13:07,59.75,5.25,15840
2022-08-25T20:13:08,68.25,12.25,15840
2022-08-25T20:13:09,52,11,15840
2022-08-25T20:13:10,58.75,11.25,15840
2022-08-25T20:13:11,60,13,15840
2022-08-25T20:13:12,46,8,15840
2022-08-25T20:13:13,57,12.75,15840
2022-08-25T20:13:14,69.75,13.75,15840
2022-08-25T20:13:15,71.5,11.5,15840
2022-08-25T20:13:16,60,10.5,15840
2022-08-25T20:13:17,57.5,9.25,15840
2022-08-25T20:13:18,55,10.25,15840
2022-08-25T20:13:19,58.25,12.5,15840
2022-08-25T20:13:21,64.5,10.25,15840
2022-08-25T20:13:22,89.75,23.5,15840
2022-08-25T20:13:23,98.25,27.25,15840
2022-08-25T20:13:24,99,27.5,15840
2022-08-25T20:13:25,91.75,25.75,15840
2022-08-25T20:13:26,94.5,26.5,15840
2022-08-25T20:13:27,99,27.25,15840
2022-08-25T20:13:28,99,27,15840
2022-08-25T20:13:29,97.5,27.25,15840
2022-08-25T20:13:30,99,27,15840
2022-08-25T20:13:31,95,26.5,15840
2022-08-25T20:13:32,93.5,26,15840
2022-08-25T20:13:34,97.5,27,15840
2022-08-25T20:13:35,98.5,27.25,15840
2022-08-25T20:13:36,96.5,27.75,15840
2022-08-25T20:13:37,95.75,27.25,15840
2022-08-25T20:13:38,98.75,27.25,15840
2022-08-25T20:13:39,92.75,26,15840
2022-08-25T20:13:40,95.5,26.5,15840
2022-08-25T20:13:41,92.75,26.5,15840
2022-08-25T20:13:42,88.75,25,15840
2022-08-25T20:13:43,96.5,26.5,15840
2022-08-25T20:13:44,99,27.25,15840
2022-08-25T20:13:45,99,27,15840
2022-08-25T20:13:46,96,26.5,15840
2022-08-25T20:13:48,99,27.75,15840
2022-08-25T20:13:49,94.25,26.75,15840
2022-08-25T20:13:50,98,27.5,15840
2022-08-25T20:13:51,98.5,27,15840
2022-08-25T20:13:52,99,27.25,15840
2022-08-25T20:13:53,99,27.5,15840
2022-08-25T20:13:54,92.5,26.5,15840
2022-08-25T20:13:55,93.5,26.25,15840
2022-08-25T20:13:56,99,27.25,15840
2022-08-25T20:13:57,99,27,15840
2022-08-25T20:13:58,94.5,26.75,15840
2022-08-25T20:13:59,95,23.5,15840
2022-08-25T20:14:00,99,20.5,15840
2022-08-25T20:14:02,99,20.5,15840
2022-08-25T20:14:03,98.5,20.25,15840
2022-08-25T20:14:04,93.25,20,15840
2022-08-25T20:14:05,98.5,20.5,15840
2022-08-25T20:14:06,98.75,20.5,15840
2022-08-25T20:14:07,99,20.5,15840
2022-08-25T20:14:08,99,20.5,15840
2022-08-25T20:14:09,99,20.25,15840
2022-08-25T20:14:10,99,16.5,15840
2022-08-25T20:14:11,99,13.75,15840
2022-08-25T20:14:12,99,13.75,15840
2022-08-25T20:14:13,99,12.75,15840
2022-08-25T20:14:14,88.75,8.5,15842
2022-08-25T20:14:15,72.75,9.5,15842
2022-08-25T20:14:17,36,4.5,15842
2022-08-25T20:14:18,61.25,13,15842
2022-08-25T20:14:19,57.5,14.5,15842
2022-08-25T20:14:20,57.5,11.75,15842
