timestamp,%usr,%nice,%sys,%iowait,%irq,%soft,%steal,%guest,%gnice,%idle
2022-08-30T20:34:49,4.27,0.00,1.53,1.78,0.00,0.15,0.00,0.00,0.00,92.26
2022-08-30T20:34:50,1.38,0.00,1.61,0.68,0.00,0.06,0.00,0.00,0.00,96.27
2022-08-30T20:34:51,0.83,0.00,1.70,1.29,0.00,0.16,0.00,0.00,0.00,96.02
2022-08-30T20:34:52,1.31,0.00,1.80,0.74,0.00,0.36,0.00,0.00,0.00,95.79
2022-08-30T20:34:53,1.54,0.00,2.00,0.46,0.00,0.21,0.00,0.00,0.00,95.78
2022-08-30T20:34:54,2.57,0.00,2.24,0.10,0.00,0.11,0.00,0.00,0.00,94.98
2022-08-30T20:34:55,2.12,0.00,1.66,0.02,0.00,0.10,0.00,0.00,0.00,96.09
2022-08-30T20:34:56,2.17,0.00,1.70,0.07,0.00,0.20,0.00,0.00,0.00,95.86
2022-08-30T20:34:57,1.37,0.00,2.04,0.16,0.00,0.22,0.00,0.00,0.00,96.20
2022-08-30T20:34:58,0.96,0.00,2.02,0.51,0.00,0.05,0.00,0.00,0.00,96.45
2022-08-30T20:34:59,1.41,0.00,1.60,0.96,0.00,0.11,0.00,0.00,0.00,95.91
2022-08-30T20:35:00,1.87,0.00,1.82,0.27,0.00,0.07,0.00,0.00,0.00,95.95
2022-08-30T20:35:01,2.15,0.00,1.63,0.05,0.00,0.05,0.00,0.00,0.00,96.12
2022-08-30T20:35:02,1.99,0.00,1.79,0.20,0.00,0.04,0.00,0.00,0.00,95.98
2022-08-30T20:35:03,1.85,0.00,1.49,0.46,0.00,0.10,0.00,0.00,0.00,96.09
2022-08-30T20:35:04,1.49,0.00,1.14,1.64,0.00,0.03,0.00,0.00,0.00,95.71
2022-08-30T20:35:05,0.28,0.00,0.69,3.84,0.00,0.04,0.00,0.00,0.00,95.16
2022-08-30T20:35:06,1.22,0.00,1.09,2.13,0.00,0.10,0.00,0.00,0.00,95.46
2022-08-30T20:35:07,0.41,0.00,0.96,2.62,0.00,0.02,0.00,0.00,0.00,95.98
2022-08-30T20:35:08,0.45,0.00,1.09,2.44,0.00,0.06,0.00,0.00,0.00,95.96
2022-08-30T20:35:09,1.65,0.00,1.25,1.16,0.00,0.06,0.00,0.00,0.00,95.87
2022-08-30T20:35:10,3.04,0.00,1.83,0.15,0.00,0.15,0.00,0.00,0.00,94.84
2022-08-30T20:35:11,3.40,0.00,1.98,0.00,0.00,0.56,0.00,0.00,0.00,94.07
2022-08-30T20:35:12,3.78,0.00,1.89,0.09,0.00,0.22,0.00,0.00,0.00,94.02
2022-08-30T20:35:13,3.20,0.00,1.80,0.06,0.00,0.22,0.00,0.00,0.00,94.72
2022-08-30T20:35:14,2.86,0.00,1.42,0.05,0.00,0.12,0.00,0.00,0.00,95.54
2022-08-30T20:35:15,2.73,0.00,1.49,0.09,0.00,0.07,0.00,0.00,0.00,95.62
2022-08-30T20:35:16,2.29,0.00,1.53,0.10,0.00,0.11,0.00,0.00,0.00,95.97
2022-08-30T20:35:17,2.52,0.00,1.62,0.06,0.00,0.07,0.00,0.00,0.00,95.72
2022-08-30T20:35:18,2.74,0.00,1.32,0.01,0.00,0.10,0.00,0.00,0.00,95.83
2022-08-30T20:35:19,2.25,0.00,1.79,0.06,0.00,0.05,0.00,0.00,0.00,95.85
