timestamp,%usr,%nice,%sys,%iowait,%irq,%soft,%steal,%guest,%gnice,%idle
2022-08-30T23:24:49,4.35,0.00,1.65,1.64,0.00,0.28,0.00,0.00,0.00,92.08
2022-08-30T23:24:50,1.18,0.00,1.68,0.61,0.00,0.15,0.00,0.00,0.00,96.38
2022-08-30T23:24:51,0.69,0.00,1.60,0.74,0.00,0.12,0.00,0.00,0.00,96.85
2022-08-30T23:24:52,0.91,0.00,1.53,0.54,0.00,0.10,0.00,0.00,0.00,96.92
2022-08-30T23:24:53,0.83,0.00,1.61,0.29,0.00,0.08,0.00,0.00,0.00,97.20
2022-08-30T23:24:54,0.77,0.00,1.97,0.01,0.00,0.21,0.00,0.00,0.00,97.03
2022-08-30T23:24:55,0.60,0.00,2.04,0.09,0.00,0.36,0.00,0.00,0.00,96.92
2022-08-30T23:24:56,0.91,0.00,1.89,0.00,0.00,0.06,0.00,0.00,0.00,97.14
2022-08-30T23:24:57,0.71,0.00,1.93,0.00,0.00,0.01,0.00,0.00,0.00,97.35
2022-08-30T23:24:58,0.74,0.00,1.95,0.00,0.00,0.04,0.00,0.00,0.00,97.27
2022-08-30T23:24:59,0.78,0.00,1.89,0.08,0.00,0.18,0.00,0.00,0.00,97.09
2022-08-30T23:25:00,0.70,0.00,1.98,0.09,0.00,0.66,0.00,0.00,0.00,96.58
2022-08-30T23:25:01,0.63,0.00,1.70,0.86,0.00,0.08,0.00,0.00,0.00,96.73
2022-08-30T23:25:02,0.71,0.00,1.80,1.65,0.00,0.07,0.00,0.00,0.00,95.76
2022-08-30T23:25:03,0.64,0.00,1.40,1.16,0.00,0.06,0.00,0.00,0.00,96.73
2022-08-30T23:25:04,0.69,0.00,1.69,1.05,0.00,0.03,0.00,0.00,0.00,96.55
2022-08-30T23:25:05,0.36,0.00,0.71,2.36,0.00,0.03,0.00,0.00,0.00,96.53
2022-08-30T23:25:06,0.80,0.00,1.38,1.04,0.00,0.03,0.00,0.00,0.00,96.76
2022-08-30T23:25:07,2.54,0.00,2.65,0.00,0.00,0.09,0.00,0.00,0.00,94.72
2022-08-30T23:25:08,6.90,0.00,3.59,0.29,0.00,0.05,0.00,0.00,0.00,89.17
2022-08-30T23:25:09,3.42,0.00,2.66,0.16,0.00,0.01,0.00,0.00,0.00,93.74
2022-08-30T23:25:10,0.43,0.00,2.16,0.04,0.00,0.05,0.00,0.00,0.00,97.32
2022-08-30T23:25:11,0.43,0.00,1.61,0.00,0.00,0.07,0.00,0.00,0.00,97.89
2022-08-30T23:25:12,0.41,0.00,2.46,0.00,0.00,0.21,0.00,0.00,0.00,96.91
2022-08-30T23:25:13,3.11,0.00,3.33,2.81,0.00,0.25,0.00,0.00,0.00,90.50
