timestamp,%usr,%nice,%sys,%iowait,%irq,%soft,%steal,%guest,%gnice,%idle
2022-08-28T06:16:09,4.29,0.00,1.88,1.48,0.00,0.13,0.00,0.00,0.00,92.23
2022-08-28T06:16:10,1.10,0.00,1.64,0.64,0.00,0.10,0.00,0.00,0.00,96.52
2022-08-28T06:16:11,0.58,0.00,1.45,0.69,0.00,0.08,0.00,0.00,0.00,97.21
2022-08-28T06:16:12,0.86,0.00,1.26,0.49,0.00,0.06,0.00,0.00,0.00,97.32
2022-08-28T06:16:13,0.93,0.00,1.46,0.29,0.00,0.10,0.00,0.00,0.00,97.22
2022-08-28T06:16:14,1.38,0.00,1.60,0.00,0.00,0.05,0.00,0.00,0.00,96.97
2022-08-28T06:16:15,1.75,0.00,1.38,0.64,0.00,0.05,0.00,0.00,0.00,96.18
2022-08-28T06:16:16,0.49,0.00,0.94,1.76,0.00,0.00,0.00,0.00,0.00,96.81
2022-08-28T06:16:17,0.95,0.00,1.09,1.62,0.00,0.04,0.00,0.00,0.00,96.30
2022-08-28T06:16:18,0.41,0.00,0.84,2.28,0.00,0.00,0.00,0.00,0.00,96.47
2022-08-28T06:16:19,0.45,0.00,0.97,1.81,0.00,0.05,0.00,0.00,0.00,96.71
2022-08-28T06:16:20,1.19,0.00,1.21,1.15,0.00,0.04,0.00,0.00,0.00,96.41
2022-08-28T06:16:21,0.48,0.00,2.14,0.05,0.00,0.03,0.00,0.00,0.00,97.31
2022-08-28T06:16:22,1.50,0.00,1.67,0.82,0.00,0.07,0.00,0.00,0.00,95.93
2022-08-28T06:16:23,1.71,0.00,1.70,0.40,0.00,0.03,0.00,0.00,0.00,96.16
2022-08-28T06:16:24,2.05,0.00,1.69,0.08,0.00,0.05,0.00,0.00,0.00,96.13
2022-08-28T06:16:25,1.09,0.00,1.50,1.34,0.00,0.05,0.00,0.00,0.00,96.02
2022-08-28T06:16:26,1.35,0.00,1.44,0.99,0.00,0.05,0.00,0.00,0.00,96.17
2022-08-28T06:16:27,1.37,0.00,1.35,1.34,0.00,0.05,0.00,0.00,0.00,95.89
2022-08-28T06:16:28,2.56,0.00,1.36,0.02,0.00,0.07,0.00,0.00,0.00,95.98
2022-08-28T06:16:29,1.50,0.00,1.44,1.00,0.00,0.03,0.00,0.00,0.00,96.04
2022-08-28T06:16:30,1.84,0.00,1.29,0.75,0.00,0.08,0.00,0.00,0.00,96.05
2022-08-28T06:16:31,2.04,0.00,1.44,0.64,0.00,0.09,0.00,0.00,0.00,95.80
2022-08-28T06:16:32,1.39,0.00,1.48,1.20,0.00,0.09,0.00,0.00,0.00,95.85
2022-08-28T06:16:33,2.20,0.00,1.25,0.46,0.00,0.01,0.00,0.00,0.00,96.07
2022-08-28T06:16:34,1.80,0.00,1.38,0.93,0.00,0.06,0.00,0.00,0.00,95.84
2022-08-28T06:16:35,1.59,0.00,1.54,0.88,0.00,0.11,0.00,0.00,0.00,95.88
2022-08-28T06:16:36,3.12,0.00,1.27,0.00,0.00,0.02,0.00,0.00,0.00,95.58
2022-08-28T06:16:37,1.07,0.00,1.64,1.50,0.00,0.10,0.00,0.00,0.00,95.69
2022-08-28T06:16:38,2.10,0.00,1.52,0.41,0.00,0.09,0.00,0.00,0.00,95.88
2022-08-28T06:16:39,2.16,0.00,1.16,0.58,0.00,0.06,0.00,0.00,0.00,96.04
2022-08-28T06:16:40,1.56,0.00,1.54,0.73,0.00,0.09,0.00,0.00,0.00,96.09
2022-08-28T06:16:41,2.88,0.00,1.18,0.00,0.00,0.07,0.00,0.00,0.00,95.88
2022-08-28T06:16:42,1.61,0.00,1.29,1.08,0.00,0.01,0.00,0.00,0.00,96.01
2022-08-28T06:16:43,1.19,0.00,1.44,1.60,0.00,0.05,0.00,0.00,0.00,95.72
2022-08-28T06:16:44,2.80,0.00,1.12,0.16,0.00,0.15,0.00,0.00,0.00,95.77
2022-08-28T06:16:45,1.66,0.00,1.25,0.94,0.00,0.09,0.00,0.00,0.00,96.06
2022-08-28T06:16:46,2.01,0.00,1.31,0.68,0.00,0.06,0.00,0.00,0.00,95.94
2022-08-28T06:16:47,1.30,0.00,1.46,1.27,0.00,0.06,0.00,0.00,0.00,95.90
2022-08-28T06:16:48,2.88,0.00,1.25,0.04,0.00,0.09,0.00,0.00,0.00,95.74
2022-08-28T06:16:49,0.96,0.00,1.48,1.41,0.00,0.05,0.00,0.00,0.00,96.10
2022-08-28T06:16:50,2.19,0.00,1.49,0.72,0.00,0.06,0.00,0.00,0.00,95.54
2022-08-28T06:16:51,2.43,0.00,1.05,0.47,0.00,0.01,0.00,0.00,0.00,96.04
2022-08-28T06:16:52,0.59,0.00,1.16,2.45,0.00,0.03,0.00,0.00,0.00,95.77
2022-08-28T06:16:53,0.46,0.00,0.86,2.50,0.00,0.03,0.00,0.00,0.00,96.15
2022-08-28T06:16:54,0.50,0.00,0.94,2.47,0.00,0.07,0.00,0.00,0.00,96.01
2022-08-28T06:16:55,0.45,0.00,0.89,2.50,0.00,0.03,0.00,0.00,0.00,96.14
2022-08-28T06:16:56,1.40,0.00,1.49,1.04,0.00,0.16,0.00,0.00,0.00,95.91
2022-08-28T06:16:57,2.82,0.00,1.16,0.12,0.00,0.17,0.00,0.00,0.00,95.72
2022-08-28T06:16:58,1.54,0.00,1.41,1.02,0.00,0.14,0.00,0.00,0.00,95.89
2022-08-28T06:16:59,2.19,0.00,1.30,0.52,0.00,0.14,0.00,0.00,0.00,95.85
2022-08-28T06:17:00,1.61,0.00,1.50,0.79,0.00,0.14,0.00,0.00,0.00,95.97
2022-08-28T06:17:01,2.68,0.00,1.16,0.17,0.00,0.27,0.00,0.00,0.00,95.71
2022-08-28T06:17:02,1.45,0.00,1.51,1.12,0.00,0.17,0.00,0.00,0.00,95.74
2022-08-28T06:17:03,2.34,0.00,1.20,0.26,0.00,0.08,0.00,0.00,0.00,96.12
2022-08-28T06:17:04,2.67,0.00,1.20,0.09,0.00,0.07,0.00,0.00,0.00,95.96
2022-08-28T06:17:05,1.65,0.00,1.59,0.85,0.00,0.10,0.00,0.00,0.00,95.81
2022-08-28T06:17:06,2.97,0.00,1.36,0.00,0.00,0.11,0.00,0.00,0.00,95.55
2022-08-28T06:17:07,2.21,0.00,1.44,0.33,0.00,0.11,0.00,0.00,0.00,95.91
2022-08-28T06:17:08,1.80,0.00,1.31,1.23,0.00,0.03,0.00,0.00,0.00,95.63
2022-08-28T06:17:09,1.77,0.00,1.42,0.79,0.00,0.09,0.00,0.00,0.00,95.93
2022-08-28T06:17:10,1.53,0.00,1.51,0.86,0.00,0.03,0.00,0.00,0.00,96.07
2022-08-28T06:17:11,2.96,0.00,1.11,0.00,0.00,0.05,0.00,0.00,0.00,95.88
2022-08-28T06:17:12,0.81,0.00,1.60,1.74,0.00,0.04,0.00,0.00,0.00,95.81
2022-08-28T06:17:13,2.34,0.00,1.31,0.31,0.00,0.06,0.00,0.00,0.00,95.98
2022-08-28T06:17:14,2.46,0.00,1.14,0.25,0.00,0.14,0.00,0.00,0.00,96.02
2022-08-28T06:17:15,2.40,0.00,1.25,0.25,0.00,0.08,0.00,0.00,0.00,96.02
2022-08-28T06:17:16,1.61,0.00,1.56,0.71,0.00,0.05,0.00,0.00,0.00,96.06
2022-08-28T06:17:17,2.93,0.00,1.05,0.09,0.00,0.03,0.00,0.00,0.00,95.91
2022-08-28T06:17:18,1.75,0.00,1.51,0.56,0.00,0.04,0.00,0.00,0.00,96.14
2022-08-28T06:17:19,2.69,0.00,1.36,0.11,0.00,0.09,0.00,0.00,0.00,95.75
2022-08-28T06:17:20,2.28,0.00,1.45,0.21,0.00,0.08,0.00,0.00,0.00,95.99
2022-08-28T06:17:21,2.07,0.00,1.46,0.54,0.00,0.07,0.00,0.00,0.00,95.85
2022-08-28T06:17:22,2.45,0.00,1.50,0.26,0.00,0.07,0.00,0.00,0.00,95.72
2022-08-28T06:17:23,2.00,0.00,1.52,0.76,0.00,0.10,0.00,0.00,0.00,95.61
2022-08-28T06:17:24,2.55,0.00,1.24,0.15,0.00,0.04,0.00,0.00,0.00,96.02
2022-08-28T06:17:25,1.91,0.00,1.32,0.76,0.00,0.05,0.00,0.00,0.00,95.95
2022-08-28T06:17:26,0.76,0.00,1.19,2.23,0.00,0.01,0.00,0.00,0.00,95.81
2022-08-28T06:17:27,0.76,0.00,1.05,2.10,0.00,0.05,0.00,0.00,0.00,96.04
2022-08-28T06:17:28,0.68,0.00,1.09,2.39,0.00,0.04,0.00,0.00,0.00,95.81
2022-08-28T06:17:29,0.70,0.00,0.95,2.47,0.00,0.04,0.00,0.00,0.00,95.84
2022-08-28T06:17:30,0.44,0.00,0.95,2.49,0.00,0.00,0.00,0.00,0.00,96.12
2022-08-28T06:17:31,1.01,0.00,1.14,1.99,0.00,0.03,0.00,0.00,0.00,95.84
2022-08-28T06:17:32,2.89,0.00,1.17,0.02,0.00,0.07,0.00,0.00,0.00,95.84
2022-08-28T06:17:33,1.51,0.00,1.54,0.91,0.00,0.07,0.00,0.00,0.00,95.97
2022-08-28T06:17:34,2.48,0.00,1.35,0.34,0.00,0.03,0.00,0.00,0.00,95.81
2022-08-28T06:17:35,1.85,0.00,1.56,0.66,0.00,0.10,0.00,0.00,0.00,95.83
