timestamp,sm,mem,fb
2022-08-30T21:35:00,0,0,12
2022-08-30T21:35:01,2,0,527
2022-08-30T21:35:02,2,0,705
2022-08-30T21:35:03,2,0,933
2022-08-30T21:35:04,2,0,1147
2022-08-30T21:35:05,4,0,11121
2022-08-30T21:35:06,50,12,13883
2022-08-30T21:35:07,28,6,13883
2022-08-30T21:35:08,44,11,14945
2022-08-30T21:35:09,70,18,14945
2022-08-30T21:35:10,47,12,14945
2022-08-30T21:35:11,51,12,14945
2022-08-30T21:35:12,64,15,14945
2022-08-30T21:35:13,54,14,14945
2022-08-30T21:35:15,62,14,14945
2022-08-30T21:35:16,76,19,14945
2022-08-30T21:35:17,38,11,14945
2022-08-30T21:35:18,48,10,14945
2022-08-30T21:35:19,61,15,14945
2022-08-30T21:35:20,61,15,14945
2022-08-30T21:35:21,47,10,14945
2022-08-30T21:35:22,61,15,14945
2022-08-30T21:35:23,12,2,14945
2022-08-30T21:35:24,37,10,14945
2022-08-30T21:35:25,49,11,14945
2022-08-30T21:35:26,0,0,14945
2022-08-30T21:35:27,1,0,14945
2022-08-30T21:35:28,50,12,14945
2022-08-30T21:35:29,51,12,14945
2022-08-30T21:35:30,79,21,14945
2022-08-30T21:35:31,54,13,14945
2022-08-30T21:35:32,50,12,14945
2022-08-30T21:35:33,57,13,14945
2022-08-30T21:35:34,44,11,14945
2022-08-30T21:35:35,37,9,14945
2022-08-30T21:35:36,44,11,14945
2022-08-30T21:35:37,43,10,14945
2022-08-30T21:35:39,41,12,14945
2022-08-30T21:35:40,40,8,14945
2022-08-30T21:35:41,60,15,14945
2022-08-30T21:35:42,29,7,14945
2022-08-30T21:35:43,70,17,14945
2022-08-30T21:35:44,69,17,14945
2022-08-30T21:35:45,61,16,14945
2022-08-30T21:35:46,36,7,14945
2022-08-30T21:35:47,50,11,14945
2022-08-30T21:35:48,29,5,14945
2022-08-30T21:35:49,61,15,14945
2022-08-30T21:35:50,29,8,14945
2022-08-30T21:35:51,48,12,14945
2022-08-30T21:35:52,47,12,14945
2022-08-30T21:35:53,46,11,14945
2022-08-30T21:35:54,48,12,14945
2022-08-30T21:35:55,52,14,14945
2022-08-30T21:35:56,53,14,14945
2022-08-30T21:35:57,54,13,14945
2022-08-30T21:35:58,26,5,14945
2022-08-30T21:35:59,25,7,14945
2022-08-30T21:36:00,44,11,14945
2022-08-30T21:36:01,9,1,14945
2022-08-30T21:36:02,0,0,14945
2022-08-30T21:36:04,65,17,14945
2022-08-30T21:36:05,22,5,14945
2022-08-30T21:36:06,68,16,14945
2022-08-30T21:36:07,70,17,14945
2022-08-30T21:36:08,11,2,14945
2022-08-30T21:36:09,66,16,14945
2022-08-30T21:36:10,33,9,14945
2022-08-30T21:36:11,66,16,14945
2022-08-30T21:36:12,61,15,14945
2022-08-30T21:36:13,19,4,14945
2022-08-30T21:36:14,60,15,14945
2022-08-30T21:36:15,60,15,14945
2022-08-30T21:36:16,54,13,14945
2022-08-30T21:36:17,39,10,14945
2022-08-30T21:36:18,78,20,14945
2022-08-30T21:36:19,48,12,14945
2022-08-30T21:36:20,41,11,14945
2022-08-30T21:36:21,35,9,14945
2022-08-30T21:36:22,44,11,14945
2022-08-30T21:36:23,60,15,14945
2022-08-30T21:36:24,44,11,14945
2022-08-30T21:36:25,51,12,14945
2022-08-30T21:36:26,37,9,14945
2022-08-30T21:36:27,40,10,14945
2022-08-30T21:36:28,63,16,14945
2022-08-30T21:36:30,39,9,14945
2022-08-30T21:36:31,73,17,14945
2022-08-30T21:36:32,70,17,14945
2022-08-30T21:36:33,27,7,14945
2022-08-30T21:36:34,69,17,14945
2022-08-30T21:36:35,44,12,14945
2022-08-30T21:36:36,48,11,14945
2022-08-30T21:36:37,72,18,14945
2022-08-30T21:36:38,70,17,14945
2022-08-30T21:36:39,46,12,14945
2022-08-30T21:36:40,49,11,14945
2022-08-30T21:36:41,60,15,14945
2022-08-30T21:36:42,61,15,14945
2022-08-30T21:36:43,48,11,14945
2022-08-30T21:36:44,54,13,14945
2022-08-30T21:36:45,58,15,14945
2022-08-30T21:36:46,44,11,14945
2022-08-30T21:36:47,48,12,14945
2022-08-30T21:36:48,24,5,14945
2022-08-30T21:36:49,44,11,14945
2022-08-30T21:36:50,71,17,14945
2022-08-30T21:36:51,70,18,14945
2022-08-30T21:36:52,56,15,14945
2022-08-30T21:36:53,57,13,14945
2022-08-30T21:36:54,72,16,14945
2022-08-30T21:36:56,36,10,14945
2022-08-30T21:36:57,44,9,14945
2022-08-30T21:36:58,66,17,14945
2022-08-30T21:36:59,52,14,14945
2022-08-30T21:37:00,44,8,14945
2022-08-30T21:37:01,24,8,14945
2022-08-30T21:37:02,59,14,14945
2022-08-30T21:37:03,69,17,14945
2022-08-30T21:37:04,48,12,14945
2022-08-30T21:37:05,75,18,14945
2022-08-30T21:37:06,49,11,14945
2022-08-30T21:37:07,39,10,14945
2022-08-30T21:37:08,52,12,14945
2022-08-30T21:37:09,61,15,14945
2022-08-30T21:37:10,49,12,14945
2022-08-30T21:37:11,56,14,14945
2022-08-30T21:37:12,54,13,14945
2022-08-30T21:37:13,58,14,14945
2022-08-30T21:37:14,59,16,14945
2022-08-30T21:37:15,48,12,14945
2022-08-30T21:37:16,29,8,14945
2022-08-30T21:37:17,48,12,14945
2022-08-30T21:37:18,61,15,14945
2022-08-30T21:37:19,59,14,14945
2022-08-30T21:37:20,68,18,14945
2022-08-30T21:37:21,48,12,14945
2022-08-30T21:37:22,56,13,14945
2022-08-30T21:37:23,60,15,14945
2022-08-30T21:37:24,44,11,14945
2022-08-30T21:37:25,36,9,14945
2022-08-30T21:37:26,60,16,14945
2022-08-30T21:37:27,61,16,14945
2022-08-30T21:37:29,51,10,14945
2022-08-30T21:37:30,82,20,14945
2022-08-30T21:37:31,63,16,14945
2022-08-30T21:37:32,18,4,14945
2022-08-30T21:37:33,81,20,14945
2022-08-30T21:37:34,65,16,14945
2022-08-30T21:37:35,62,16,14945
