timestamp,sm,mem,fb
2022-08-28T05:38:18,0.75,0,433.5
2022-08-28T05:38:19,2.25,0,656.5
2022-08-28T05:38:20,2.5,0,939
2022-08-28T05:38:21,2.5,0,1220
2022-08-28T05:38:22,1.5,0,1457
2022-08-28T05:38:23,4.5,1,4773
2022-08-28T05:38:25,32.75,4.5,13500.5
2022-08-28T05:38:26,85.75,8,14191
2022-08-28T05:38:27,35,0,14191
2022-08-28T05:38:28,3.5,1,14456.5
2022-08-28T05:38:29,38,6.5,14722
2022-08-28T05:38:30,58.5,8.25,15253
2022-08-28T05:38:31,20.5,4.5,15253
2022-08-28T05:38:32,32.75,6.5,15253
2022-08-28T05:38:33,61.25,8.5,15253
2022-08-28T05:38:34,34.75,2.25,15253
2022-08-28T05:38:36,44.5,9.25,15253
2022-08-28T05:38:37,57.25,2.25,15253
2022-08-28T05:38:38,48.5,6.5,15253
2022-08-28T05:38:39,9.75,1,15253
2022-08-28T05:38:40,17.5,3.25,15253
2022-08-28T05:38:41,43.5,5.25,15253
2022-08-28T05:38:42,68.5,4.5,15253
2022-08-28T05:38:43,74.25,0.5,15253
2022-08-28T05:38:44,74.25,0,15253
2022-08-28T05:38:46,63.25,0.25,15253
2022-08-28T05:38:47,37,4.75,15253
2022-08-28T05:38:48,34.75,8.25,15253
2022-08-28T05:38:49,59.75,4.75,15253
2022-08-28T05:38:50,38.75,4,15253
2022-08-28T05:38:51,16.25,3.25,15253
2022-08-28T05:38:52,39.25,6,15253
2022-08-28T05:38:53,62.5,8.75,15253
2022-08-28T05:38:54,45.5,6,15253
2022-08-28T05:38:56,55.25,9.75,15253
2022-08-28T05:38:57,31,4.25,15253
2022-08-28T05:38:58,0.25,0,15253
2022-08-28T05:38:59,22.25,4.5,15253
2022-08-28T05:39:00,49,9,15253
2022-08-28T05:39:01,38.25,7.75,15253
2022-08-28T05:39:02,35,7.75,15253
2022-08-28T05:39:03,60.25,13,15253
2022-08-28T05:39:05,47.75,0.75,15253
2022-08-28T05:39:06,48.25,10,15253
2022-08-28T05:39:07,45,8,15253
2022-08-28T05:39:08,50,9.75,15253
2022-08-28T05:39:09,46,8.25,15253
2022-08-28T05:39:10,45.75,5,15253
2022-08-28T05:39:11,44,9.5,15253
2022-08-28T05:39:12,40.75,5.75,15253
2022-08-28T05:39:13,60.5,5.75,15253
2022-08-28T05:39:14,45.75,4.25,15253
2022-08-28T05:39:15,38.25,6,15253
2022-08-28T05:39:17,49.5,0,15253
2022-08-28T05:39:18,49.5,0,15253
2022-08-28T05:39:19,49.5,0,15253
2022-08-28T05:39:20,49.5,0,15253
2022-08-28T05:39:21,56.75,2,15253
2022-08-28T05:39:22,59.25,5.5,15253
2022-08-28T05:39:23,30.25,3.5,15253
2022-08-28T05:39:24,37.5,8.25,15253
2022-08-28T05:39:25,58.5,7.75,15253
2022-08-28T05:39:26,31,2.75,15253
2022-08-28T05:39:28,38,8,15253
2022-08-28T05:39:29,51.75,7.5,15253
2022-08-28T05:39:30,47.5,8.5,15253
2022-08-28T05:39:31,52,10.75,15253
2022-08-28T05:39:32,56.75,9.25,15253
2022-08-28T05:39:33,56.75,9.75,15253
2022-08-28T05:39:34,62.75,10,15253
2022-08-28T05:39:35,60.75,4,15253
2022-08-28T05:39:36,60.25,5.5,15253
2022-08-28T05:39:37,30.25,5.25,15253
2022-08-28T05:39:39,50.5,9.5,15253
2022-08-28T05:39:40,43.25,6.5,15253
2022-08-28T05:39:41,36,7.75,15253
2022-08-28T05:39:42,54.75,11.25,15253
2022-08-28T05:39:43,52,8.75,15253
2022-08-28T05:39:44,59,11.25,15253
2022-08-28T05:39:45,51.5,9,15253
2022-08-28T05:39:47,37.5,8.25,15253
2022-08-28T05:39:48,87.5,12.75,15253
2022-08-28T05:39:49,57,5.25,15253
2022-08-28T05:39:50,53.5,13.25,15253
2022-08-28T05:39:51,60,12.25,15253
2022-08-28T05:39:52,50.5,9,15253
2022-08-28T05:39:54,67.25,9,15253
2022-08-28T05:39:55,74,0,15253
2022-08-28T05:39:56,74.25,0,15253
2022-08-28T05:39:57,74.25,0,15253
2022-08-28T05:39:58,61.5,2.25,15253
2022-08-28T05:39:59,60.75,10.25,15253
2022-08-28T05:40:00,55.25,8.75,15253
2022-08-28T05:40:02,72.75,9.5,15253
2022-08-28T05:40:03,53.25,6.5,15253
2022-08-28T05:40:04,27.5,3.5,15253
2022-08-28T05:40:05,44.25,10,15253
2022-08-28T05:40:06,48.75,8.5,15253
2022-08-28T05:40:07,47,10.25,15253
2022-08-28T05:40:08,61.75,11.25,15253
2022-08-28T05:40:10,57.75,13.75,15253
2022-08-28T05:40:11,50.25,12.5,15253
2022-08-28T05:40:12,56.5,10.5,15253
2022-08-28T05:40:13,56.75,13.25,15253
2022-08-28T05:40:14,50.75,12,15253
2022-08-28T05:40:15,50.25,11.75,15253
2022-08-28T05:40:17,58.25,13,15253
2022-08-28T05:40:18,55,3.5,15253
2022-08-28T05:40:19,55.75,9.75,15253
