timestamp,sm,mem,fb
2022-08-28T03:52:15,0.5,0,389
2022-08-28T03:52:16,1.5,0,589
2022-08-28T03:52:17,2.5,0,859
2022-08-28T03:52:18,3.5,0,1301
2022-08-28T03:52:19,2.5,0,1884
2022-08-28T03:52:21,70,17.5,14035
2022-08-28T03:52:22,24,3.5,14035
2022-08-28T03:52:23,79.5,17,15097
2022-08-28T03:52:24,40.5,11,15097
2022-08-28T03:52:25,47,10,15097
2022-08-28T03:52:26,51.5,12,15097
2022-08-28T03:52:27,55.5,7,15097
2022-08-28T03:52:28,19,5,15097
2022-08-28T03:52:29,49.5,5.5,15097
2022-08-28T03:52:30,49.5,0,15097
2022-08-28T03:52:31,61.5,3.5,15097
2022-08-28T03:52:32,55.5,6.5,15097
2022-08-28T03:52:33,42.5,9.5,15097
2022-08-28T03:52:34,57,9,15097
2022-08-28T03:52:35,40,8.5,15097
2022-08-28T03:52:36,59.5,8,15097
2022-08-28T03:52:37,45,7.5,15097
2022-08-28T03:52:38,67,11,15097
2022-08-28T03:52:39,59,10.5,15097
2022-08-28T03:52:40,52,10,15097
2022-08-28T03:52:41,53,9,15097
2022-08-28T03:52:43,43,5,15097
2022-08-28T03:52:44,77,19,15097
2022-08-28T03:52:45,40,11,15097
2022-08-28T03:52:46,50,9,15097
2022-08-28T03:52:47,74,17.5,15097
2022-08-28T03:52:48,37.5,8,15097
2022-08-28T03:52:49,70,10,15097
2022-08-28T03:52:50,38.5,9,15097
2022-08-28T03:52:51,65.5,11,15097
2022-08-28T03:52:52,26.5,7,15097
2022-08-28T03:52:53,65,14,15097
2022-08-28T03:52:54,64.5,13,15097
2022-08-28T03:52:55,57,11.5,15097
2022-08-28T03:52:56,53.5,12,15097
2022-08-28T03:52:57,57.5,13,15097
2022-08-28T03:52:58,56,14,15097
2022-08-28T03:52:59,46,11.5,15097
2022-08-28T03:53:00,56,12,15097
2022-08-28T03:53:01,56,11.5,15097
2022-08-28T03:53:02,69.5,16,15097
2022-08-28T03:53:04,66,17,15097
2022-08-28T03:53:05,29.5,7.5,15097
2022-08-28T03:53:06,49.5,7.5,15097
2022-08-28T03:53:07,50,0,15097
2022-08-28T03:53:08,74.5,9,15097
2022-08-28T03:53:09,27.5,7.5,15097
2022-08-28T03:53:10,63,13,15097
