timestamp,sm,mem,fb
2022-08-28T06:16:22,2,0,511
2022-08-28T06:16:23,2,0,756
2022-08-28T06:16:24,3,0,1045
2022-08-28T06:16:25,3.5,0,1301
2022-08-28T06:16:26,0,0,1567
2022-08-28T06:16:27,2,0.5,6287
2022-08-28T06:16:28,48.5,10.5,14035
2022-08-28T06:16:29,50,8.5,14035
2022-08-28T06:16:30,23.5,7,15097
2022-08-28T06:16:31,45.5,11,15097
2022-08-28T06:16:32,12,1.5,15097
2022-08-28T06:16:34,85.5,19.5,15097
2022-08-28T06:16:35,6.5,0.5,15097
2022-08-28T06:16:36,37.5,10.5,15097
2022-08-28T06:16:37,52.5,8.5,15097
2022-08-28T06:16:38,0,0,15097
2022-08-28T06:16:39,58,14,15097
2022-08-28T06:16:40,15.5,2.5,15097
2022-08-28T06:16:41,55.5,11.5,15097
2022-08-28T06:16:42,45.5,7,15097
2022-08-28T06:16:43,22,6,15097
2022-08-28T06:16:44,54.5,11,15097
2022-08-28T06:16:46,69,18,15097
2022-08-28T06:16:47,14,2,15097
2022-08-28T06:16:48,40.5,11.5,15097
2022-08-28T06:16:49,41.5,9,15097
2022-08-28T06:16:50,10,3.5,15097
2022-08-28T06:16:51,67.5,13,15097
2022-08-28T06:16:52,24,3,15097
2022-08-28T06:16:53,0,0,15097
2022-08-28T06:16:54,0,0,15097
2022-08-28T06:16:55,0,0,15097
2022-08-28T06:16:56,14.5,4,15097
2022-08-28T06:16:58,55,11,15097
2022-08-28T06:16:59,59.5,15,15097
2022-08-28T06:17:00,26,4.5,15097
2022-08-28T06:17:01,44,11,15097
2022-08-28T06:17:02,60.5,9.5,15097
2022-08-28T06:17:03,21,5.5,15097
2022-08-28T06:17:04,71.5,11,15097
2022-08-28T06:17:05,40,6.5,15097
2022-08-28T06:17:06,60.5,10,15097
2022-08-28T06:17:07,51.5,5.5,15097
2022-08-28T06:17:08,38.5,10,15097
2022-08-28T06:17:09,48,11,15097
2022-08-28T06:17:11,44.5,13,15097
2022-08-28T06:17:12,55.5,7,15097
2022-08-28T06:17:13,14,4.5,15097
2022-08-28T06:17:14,49.5,5.5,15097
2022-08-28T06:17:15,76,7.5,15097
2022-08-28T06:17:16,14,1,15097
2022-08-28T06:17:17,54.5,13,15097
2022-08-28T06:17:18,40.5,6.5,15097
2022-08-28T06:17:19,53,12.5,15097
2022-08-28T06:17:20,53.5,13,15097
2022-08-28T06:17:21,58.5,12,15097
2022-08-28T06:17:22,51,10.5,15097
2022-08-28T06:17:23,52.5,10,15097
2022-08-28T06:17:24,44,9.5,15097
2022-08-28T06:17:25,52,9,15097
2022-08-28T06:17:26,8.5,0.5,15097
2022-08-28T06:17:27,0,0,15097
2022-08-28T06:17:29,0,0,15097
2022-08-28T06:17:30,0,0,15097
2022-08-28T06:17:31,0,0,15097
2022-08-28T06:17:32,46,12.5,15097
2022-08-28T06:17:33,50,7.5,15097
2022-08-28T06:17:34,52.5,13.5,15097
2022-08-28T06:17:35,35,7,15097
2022-08-28T06:17:36,43.5,8,15097
2022-08-28T06:17:37,67.5,7.5,15097
2022-08-28T06:17:38,38.5,9,15097
2022-08-28T06:17:39,56,13,15097
2022-08-28T06:17:40,33,6.5,15097
