timestamp,sm,mem,fb
2022-08-25T23:14:58,1,0,253.5
2022-08-25T23:14:59,1.5,0,602
2022-08-25T23:15:00,2,0,821
2022-08-25T23:15:01,2.5,0,1127
2022-08-25T23:15:02,2,0,1301
2022-08-25T23:15:03,0.5,0,1301
2022-08-25T23:15:04,4.5,1,6593
2022-08-25T23:15:05,48,11.5,14035
2022-08-25T23:15:06,50,7,14035
2022-08-25T23:15:07,35.5,6,14566
2022-08-25T23:15:08,41.5,9.5,15097
2022-08-25T23:15:09,20.5,5,15097
2022-08-25T23:15:10,29.5,8,15097
2022-08-25T23:15:11,42,8.5,15097
2022-08-25T23:15:13,61,12,15097
2022-08-25T23:15:14,40.5,7,15097
2022-08-25T23:15:15,15.5,3,15097
2022-08-25T23:15:16,0,0,15097
2022-08-25T23:15:17,0,0,15097
2022-08-25T23:15:18,0,0,15097
2022-08-25T23:15:19,0,0,15097
2022-08-25T23:15:20,0,0,15097
2022-08-25T23:15:21,34.5,8.5,15097
2022-08-25T23:15:22,51.5,9,15097
2022-08-25T23:15:23,23,3,15097
2022-08-25T23:15:24,54.5,13,15097
2022-08-25T23:15:25,31.5,3,15097
2022-08-25T23:15:26,35,9.5,15097
2022-08-25T23:15:27,58,11.5,15097
2022-08-25T23:15:28,48,9.5,15097
2022-08-25T23:15:29,33.5,8,15097
2022-08-25T23:15:30,29.5,7.5,15097
2022-08-25T23:15:31,42.5,9.5,15097
2022-08-25T23:15:32,23.5,5,15097
2022-08-25T23:15:33,37,9.5,15097
2022-08-25T23:15:35,33,4,15097
2022-08-25T23:15:36,40.5,9,15097
2022-08-25T23:15:37,55.5,13.5,15097
2022-08-25T23:15:38,47,11,15097
2022-08-25T23:15:39,17.5,2.5,15097
2022-08-25T23:15:40,61.5,16,15097
2022-08-25T23:15:41,44,2.5,15097
2022-08-25T23:15:42,38.5,9,15097
2022-08-25T23:15:43,65,10,15097
2022-08-25T23:15:44,30,2.5,15097
2022-08-25T23:15:45,62,13,15097
2022-08-25T23:15:46,55.5,7,15097
2022-08-25T23:15:47,43,11,15097
2022-08-25T23:15:48,26,6,15097
2022-08-25T23:15:49,36.5,9.5,15097
2022-08-25T23:15:50,52,9,15097
2022-08-25T23:15:51,15.5,1,15097
2022-08-25T23:15:52,0,0,15097
2022-08-25T23:15:53,0,0,15097
2022-08-25T23:15:54,0,0,15097
2022-08-25T23:15:55,0,0,15097
2022-08-25T23:15:56,4.5,1.5,15097
2022-08-25T23:15:58,54,12,15097
2022-08-25T23:15:59,64.5,3,15097
2022-08-25T23:16:00,41.5,6.5,15097
2022-08-25T23:16:01,41,6.5,15097
2022-08-25T23:16:02,50,13,15097
2022-08-25T23:16:03,45,11,15097
2022-08-25T23:16:04,65.5,12,15097
2022-08-25T23:16:05,50,9,15097
2022-08-25T23:16:06,63,9,15097
2022-08-25T23:16:07,50.5,10,15097
2022-08-25T23:16:08,56,9,15097
2022-08-25T23:16:09,42.5,7,15097
2022-08-25T23:16:10,39,9.5,15097
2022-08-25T23:16:11,43.5,10,15097
2022-08-25T23:16:12,45.5,10.5,15097
2022-08-25T23:16:13,44,10,15097
2022-08-25T23:16:14,22,5.5,15097
2022-08-25T23:16:15,47,10,15097
2022-08-25T23:16:16,71.5,12,15097
2022-08-25T23:16:18,53.5,5.5,15097
2022-08-25T23:16:19,69,15.5,15097
2022-08-25T23:16:20,45,0.5,15097
2022-08-25T23:16:21,36.5,8.5,15097
2022-08-25T23:16:22,11,3,15097
2022-08-25T23:16:23,34,7,15097
2022-08-25T23:16:24,29,7.5,15097
2022-08-25T23:16:25,38.5,7.5,15097
2022-08-25T23:16:26,42.5,5.5,15097
2022-08-25T23:16:27,24,5.5,15097
2022-08-25T23:16:28,0,0,15097
2022-08-25T23:16:29,0,0,15097
2022-08-25T23:16:30,0,0,15097
2022-08-25T23:16:31,24.5,6.5,15097
2022-08-25T23:16:32,73,10,15097
2022-08-25T23:16:33,69,5,15097
2022-08-25T23:16:34,48.5,6,15097
2022-08-25T23:16:35,47,10,15097
2022-08-25T23:16:36,46,10,15097
2022-08-25T23:16:37,50,11.5,15097
2022-08-25T23:16:38,45.5,11,15097
2022-08-25T23:16:39,50,12,15097
2022-08-25T23:16:41,41.5,4.5,15097
2022-08-25T23:16:42,58.5,14.5,15097
2022-08-25T23:16:43,40,8.5,15097
2022-08-25T23:16:44,41,10.5,15097
2022-08-25T23:16:45,41,5.5,15097
2022-08-25T23:16:46,59.5,14.5,15097
2022-08-25T23:16:47,45,7.5,15097
2022-08-25T23:16:48,28.5,7,15097
2022-08-25T23:16:49,48,12,15097
2022-08-25T23:16:50,50,6.5,15097
2022-08-25T23:16:51,39.5,7.5,15097
2022-08-25T23:16:52,74,9,15097
2022-08-25T23:16:53,46,2.5,15097
2022-08-25T23:16:54,36,6,15097
2022-08-25T23:16:55,42.5,7,15097
2022-08-25T23:16:56,46,11,15097
2022-08-25T23:16:57,41,9.5,15097
2022-08-25T23:16:58,51.5,13,15097
2022-08-25T23:16:59,60,12,15097
2022-08-25T23:17:01,66.5,3.5,15097
2022-08-25T23:17:02,38.5,0,15097
2022-08-25T23:17:03,64,17,15097
2022-08-25T23:17:04,49.5,2.5,15097
2022-08-25T23:17:05,49.5,0,15097
2022-08-25T23:17:06,49.5,0,15097
2022-08-25T23:17:07,49.5,0,15097
2022-08-25T23:17:08,42.5,2.5,15097
2022-08-25T23:17:09,32,7.5,15097
2022-08-25T23:17:10,53.5,12.5,15097
2022-08-25T23:17:11,73.5,9.5,15097
2022-08-25T23:17:12,58,13,15097
2022-08-25T23:17:13,58.5,15,15097
2022-08-25T23:17:14,50.5,12,15097
2022-08-25T23:17:15,46.5,6.5,15097
2022-08-25T23:17:16,47.5,6,15097
2022-08-25T23:17:17,54,11,15097
2022-08-25T23:17:18,49,6,15097
2022-08-25T23:17:19,48,10.5,15097
2022-08-25T23:17:20,54.5,10.5,15097
2022-08-25T23:17:22,64.5,9,15097
2022-08-25T23:17:23,47,8.5,15097
2022-08-25T23:17:24,56,11,15097
2022-08-25T23:17:25,58,14.5,15097
2022-08-25T23:17:26,48.5,11.5,15097
2022-08-25T23:17:27,41.5,9,15097
2022-08-25T23:17:28,73,14,15097
2022-08-25T23:17:29,34.5,1,15097
2022-08-25T23:17:30,58,14.5,15097
2022-08-25T23:17:31,61.5,9.5,15097
2022-08-25T23:17:32,60.5,14.5,15097
2022-08-25T23:17:33,67,10.5,15097
2022-08-25T23:17:34,55,9.5,15097
2022-08-25T23:17:35,56.5,12,15097
2022-08-25T23:17:36,55.5,11.5,15097
2022-08-25T23:17:37,58,13.5,15097
2022-08-25T23:17:38,52,12,15097
2022-08-25T23:17:39,64.5,14,15097
2022-08-25T23:17:40,55,11.5,15097
2022-08-25T23:17:42,71.5,14,15097
2022-08-25T23:17:43,45.5,0,15097
2022-08-25T23:17:44,45,11,15097
2022-08-25T23:17:45,52.5,14,15097
2022-08-25T23:17:46,63,11.5,15097
2022-08-25T23:17:47,50.5,12,15097
2022-08-25T23:17:48,54.5,12.5,15097
2022-08-25T23:17:49,54,13.5,15097
2022-08-25T23:17:50,43.5,9.5,15097
2022-08-25T23:17:51,45.5,9.5,15097
2022-08-25T23:17:52,56,13,15097
2022-08-25T23:17:53,51.5,9,15097
2022-08-25T23:17:54,43,10,15097
2022-08-25T23:17:55,62.5,16,15097
2022-08-25T23:17:56,69,12,15097
2022-08-25T23:17:57,44,5.5,15097
2022-08-25T23:17:58,41.5,10.5,15097
2022-08-25T23:17:59,49.5,11,15097
2022-08-25T23:18:00,51,10.5,15097
2022-08-25T23:18:01,64.5,12,15097
2022-08-25T23:18:03,79.5,10,15097
2022-08-25T23:18:04,61,15,15097
2022-08-25T23:18:05,46.5,11.5,15097
2022-08-25T23:18:06,55,11.5,15097
2022-08-25T23:18:07,43,8.5,15097
2022-08-25T23:18:08,51.5,12.5,15097
2022-08-25T23:18:09,66.5,16,15097
2022-08-25T23:18:10,53.5,11,15097
2022-08-25T23:18:11,71,13,15097
2022-08-25T23:18:12,51.5,9,15097
2022-08-25T23:18:13,62,15.5,15097
2022-08-25T23:18:14,56,13,15097
2022-08-25T23:18:15,53,10.5,15097
2022-08-25T23:18:16,59,12,15097
2022-08-25T23:18:17,41.5,8,15097
2022-08-25T23:18:18,48,12.5,15097
2022-08-25T23:18:19,54,12,15097
2022-08-25T23:18:20,71.5,17,15097
2022-08-25T23:18:21,60.5,14,15097
2022-08-25T23:18:23,62.5,16,15097
2022-08-25T23:18:24,79,12.5,15097
2022-08-25T23:18:25,43.5,6.5,15097
2022-08-25T23:18:26,68,15,15097
2022-08-25T23:18:27,39,2,15097
2022-08-25T23:18:28,51,13,15097
2022-08-25T23:18:29,58.5,15,15097
2022-08-25T23:18:30,68,11,15097
2022-08-25T23:18:31,55.5,11,15097
2022-08-25T23:18:32,62,15.5,15097
2022-08-25T23:18:33,65,12,15097
2022-08-25T23:18:34,64,13.5,15097
2022-08-25T23:18:35,55.5,9,15097
2022-08-25T23:18:36,55,10.5,15097
2022-08-25T23:18:37,53,12.5,15097
2022-08-25T23:18:38,49.5,12.5,15097
2022-08-25T23:18:39,65,11.5,15097
2022-08-25T23:18:40,56.5,8,15097
2022-08-25T23:18:41,59,12,15097
2022-08-25T23:18:42,60,12,15097
2022-08-25T23:18:44,73,15,15097
2022-08-25T23:18:45,34.5,9,15097
2022-08-25T23:18:46,55.5,14.5,15097
2022-08-25T23:18:47,75,14.5,15097
2022-08-25T23:18:48,43.5,10.5,15097
2022-08-25T23:18:49,43.5,10,15097
2022-08-25T23:18:50,50.5,12.5,15097
2022-08-25T23:18:51,45.5,9.5,15097
